model	instrument	type	category	cat_value	standardized	date	fit	se	lwr	upr	period_duration	period_text	obs_month_period	obs_timeseries
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2021-04-01	NA	NA	NA	NA	2_Monate	Mitte Februar bis Mitte Mai	222	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2021-05-01	NA	NA	NA	NA	2_Monate	Mitte März bis Mitte Juni	222	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2021-06-01	12.2166380286217	3.66131402552128	6.65322542190552	21.3672861456871	2_Monate	Mitte April bis Mitte Juli	164	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2021-07-01	12.6789107918739	3.34598980844021	7.433070987463	20.7952573895454	2_Monate	Mitte Mai bis Mitte August	205	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2021-08-01	12.1249794960022	2.78044547885656	7.64129459857941	18.7066867947578	3_Monate	Mitte Juni bis Mitte September	284	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2021-09-01	13.6161535978317	2.73744855076075	9.08175557851791	19.9185237288475	3_Monate	Mitte Juli bis Mitte Oktober	314	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2021-10-01	15.7428652048111	3.48094180226326	10.0486479699612	23.8096982240677	3_Monate	Mitte August bis Mitte November	258	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2021-11-01	NA	NA	NA	NA	3_Monate	Mitte September bis Mitte Dezember	239	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2021-12-01	NA	NA	NA	NA	2_Monate	Mitte Oktober bis Mitte Januar	145	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2022-01-01	NA	NA	NA	NA	2_Monate	Mitte November bis Mitte Februar	83	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2022-02-01	10.5289064347744	2.64482591301203	6.35621249675751	16.9451877474785	2_Monate	Mitte Dezember bis Mitte März	198	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2022-03-01	12.9850566387177	2.28017140179873	9.13045555353165	18.1420639157295	3_Monate	Mitte Januar bis Mitte April	382	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2022-04-01	12.9837870597839	1.94357950240374	9.62535589933395	17.2898441553116	3_Monate	Mitte Februar bis Mitte Mai	556	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2022-05-01	17.2290593385696	2.27040201425552	13.2214337587357	22.1415117383003	3_Monate	Mitte März bis Mitte Juni	589	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2022-06-01	20.1897233724594	2.29277759790421	16.0655245184898	25.056591629982	3_Monate	Mitte April bis Mitte Juli	644	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2022-07-01	23.2429221272469	2.4025434628129	18.8683390617371	28.2782346010208	3_Monate	Mitte Mai bis Mitte August	690	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2022-08-01	21.9032719731331	2.4186821654439	17.5311237573624	27.0087003707886	3_Monate	Mitte Juni bis Mitte September	741	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2022-09-01	21.4507550001144	2.46017165482044	17.0210093259811	26.6629159450531	3_Monate	Mitte Juli bis Mitte Oktober	770	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2022-10-01	17.486797273159	2.12518516927958	13.7029007077217	22.0486104488373	3_Monate	Mitte August bis Mitte November	800	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2022-11-01	20.167264342308	2.04156450927258	16.4598196744919	24.4652256369591	3_Monate	Mitte September bis Mitte Dezember	810	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2022-12-01	20.7214280962944	2.14781034737825	16.8254017829895	25.2457767724991	3_Monate	Mitte Oktober bis Mitte Januar	771	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2023-01-01	22.8328168392181	2.09858193993568	18.9814031124115	27.2033095359802	3_Monate	Mitte November bis Mitte Februar	857	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2023-02-01	20.5481678247452	1.98322776705027	16.9317707419395	24.7072383761406	3_Monate	Mitte Dezember bis Mitte März	877	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2023-03-01	19.5018023252487	1.83050632476807	16.1614269018173	23.3403861522675	3_Monate	Mitte Januar bis Mitte April	937	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2023-04-01	18.2436719536781	2.1531606093049	14.3950015306473	22.846707701683	3_Monate	Mitte Februar bis Mitte Mai	668	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2023-05-01	17.5507664680481	2.51653082668781	13.1479695439339	23.0368480086327	3_Monate	Mitte März bis Mitte Juni	442	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2023-06-01	14.2869248986244	2.89175808429718	9.49625670909882	20.9353342652321	3_Monate	Mitte April bis Mitte Juli	233	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2023-07-01	18.375451862812	3.9833091199398	11.7987304925919	27.476105093956	3_Monate	Mitte Mai bis Mitte August	225	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2023-08-01	17.2793969511986	4.37974967062473	10.2798283100128	27.5799214839935	3_Monate	Mitte Juni bis Mitte September	237	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2023-09-01	17.3487588763237	4.0125384926796	10.8169697225094	26.646289229393	3_Monate	Mitte Juli bis Mitte Oktober	247	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2023-10-01	20.3479751944542	3.54869328439236	14.260433614254	28.1800806522369	3_Monate	Mitte August bis Mitte November	254	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2023-11-01	18.1699767708778	3.17620858550072	12.7464979887009	25.2337157726288	3_Monate	Mitte September bis Mitte Dezember	251	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2023-12-01	23.7207368016243	3.95503975450993	16.8476104736328	32.308354973793	3_Monate	Mitte Oktober bis Mitte Januar	193	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	FALSE	2024-01-01	18.7034338712692	4.52077649533749	11.3837644457817	29.1798233985901	3_Monate	Mitte November bis Mitte Februar	176	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2021-04-01	NA	NA	NA	NA	2_Monate	Mitte Februar bis Mitte Mai	222	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2021-05-01	NA	NA	NA	NA	2_Monate	Mitte März bis Mitte Juni	222	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2021-06-01	14.8879423737526	5.71507327258587	6.73956647515297	29.7457695007324	2_Monate	Mitte April bis Mitte Juli	164	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2021-07-01	13.3821561932564	4.31788265705109	6.92873150110245	24.2783635854721	2_Monate	Mitte Mai bis Mitte August	205	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2021-08-01	12.5977531075478	3.57532277703285	7.08682388067245	21.4067935943604	3_Monate	Mitte Juni bis Mitte September	284	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2021-09-01	14.0443205833435	3.17567028105259	8.88945236802101	21.4835718274117	3_Monate	Mitte Juli bis Mitte Oktober	314	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2021-10-01	18.1809544563293	4.81481142342091	10.5408355593681	29.5307248830795	3_Monate	Mitte August bis Mitte November	258	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2021-11-01	NA	NA	NA	NA	3_Monate	Mitte September bis Mitte Dezember	239	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2021-12-01	NA	NA	NA	NA	2_Monate	Mitte Oktober bis Mitte Januar	145	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2022-01-01	NA	NA	NA	NA	2_Monate	Mitte November bis Mitte Februar	83	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2022-02-01	10.6434866786003	2.86049600690603	6.19671866297722	17.6798239350319	2_Monate	Mitte Dezember bis Mitte März	198	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2022-03-01	12.7273246645927	2.2758835926652	8.8921420276165	17.8917855024338	3_Monate	Mitte Januar bis Mitte April	382	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2022-04-01	13.1870195269585	2.20248475670815	9.43535640835762	18.1317523121834	3_Monate	Mitte Februar bis Mitte Mai	556	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2022-05-01	18.6053648591042	2.6954859495163	13.8868540525436	24.471527338028	3_Monate	Mitte März bis Mitte Juni	589	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2022-06-01	21.3347971439362	2.78539694845676	16.3810297846794	27.2975832223892	3_Monate	Mitte April bis Mitte Juli	644	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2022-07-01	25.7340133190155	3.02745029330254	20.2568933367729	32.0959955453873	3_Monate	Mitte Mai bis Mitte August	690	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2022-08-01	23.9864081144333	3.16095687448978	18.3439746499062	30.711641907692	3_Monate	Mitte Juni bis Mitte September	741	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2022-09-01	24.1849884390831	3.32896076142788	18.2663530111313	31.2872648239136	3_Monate	Mitte Juli bis Mitte Oktober	770	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2022-10-01	18.449866771698	2.7885664254427	13.5941535234451	24.5472609996796	3_Monate	Mitte August bis Mitte November	800	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2022-11-01	20.8229914307594	2.61377021670341	16.1602705717087	26.4073014259338	3_Monate	Mitte September bis Mitte Dezember	810	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2022-12-01	21.3425979018211	2.71486584097147	16.5017321705818	27.1419405937195	3_Monate	Mitte Oktober bis Mitte Januar	771	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2023-01-01	23.2816204428673	2.6366014033556	18.5155987739563	28.840234875679	3_Monate	Mitte November bis Mitte Februar	857	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2023-02-01	20.2194973826408	2.37242300063372	15.9643322229385	25.267818570137	3_Monate	Mitte Dezember bis Mitte März	877	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2023-03-01	18.7240108847618	2.12510675191879	14.9092122912407	23.2482120394707	3_Monate	Mitte Januar bis Mitte April	937	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2023-04-01	16.8761610984802	2.50433012843132	12.5173300504684	22.3648056387901	3_Monate	Mitte Februar bis Mitte Mai	668	4994
3_Monate_Anteile	GAD-2	kategorial	Altersgruppe	18-29 Jahre	TRUE	2023-05-01	15.2250856161118	2.81790345907211	10.4803137481213	21.5996637940407	3_Monate	Mitte März bis Mitte Juni	442	4994
